year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a39dc105482,il,25.0,45322.0,blue,black,the hertz corporation,11600.0,11300.0,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
2011,Jeep,Wrangler,Unlimited Sport,suv,automatic,1j4ba3h18bl584583,az,41.0,60478.0,white,black,earnhardt,22000.0,23900.0,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja6br269781,nc,35.0,78059.0,white,gray,lenders assistance corporation,8925.0,9000.0,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
2012,Honda,CR-Z,EX,Hatchback,automatic,jhmzf1d63cs000575,hi,44.0,29999.0,black,black,ahfc/honda lease trust/hvt  inc. eot,11500.0,11000.0,Tue Dec 30 2014 14:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,,19uua8f27ca014600,pa,45.0,36437.0,white,beige,all state motor inc,18450.0,20300.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2007,Ford,Taurus,SEL Fleet,Sedan,automatic,1fafp56u37a177651,pa,24.0,126977.0,burgundy,tan,security auto loans inc,2200.0,1700.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2011,Ram,Dakota,BigHorn,Extended Cab,automatic,1d7re3bk5bs507661,ca,25.0,86632.0,white,gray,tustin community bank,9850.0,9400.0,Wed Jan 28 2015 04:05:00 GMT-0800 (PST)
2005,Mercury,Mariner,Luxury,SUV,automatic,4m2yu57195dj13457,ca,33.0,65465.0,silver,black,billion dodge chrysler jeep,4300.0,6750.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2012,Cadillac,SRX,Premium,SUV,,3gyfnfe3xcs505195,pa,47.0,41346.0,black,black,gm financial leasing,26900.0,25600.0,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2007,Honda,Accord,EX,Sedan,automatic,1hgcm56777a169991,ga,27.0,129861.0,gray,tan,toyota of greenville,5550.0,7100.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2014,Lincoln,MKT,Base,Wagon,automatic,2lmhj5fk6ebl52611,tx,38.0,36382.0,silver,black,avis corporation,24400.0,24300.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2014,Mazda,Mazda6,i Touring,Sedan,automatic,jm1gj1v6xe1162203,ca,41.0,14899.0,white,gray,mazda motors of america inc.,19000.0,18750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,,jn1cv6ar5bm412203,co,39.0,32531.0,blue,beige,infiniti financial services,18700.0,18600.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2008,Ford,Edge,SEL,SUV,automatic,2fmdk48c58ba13480,oh,36.0,94606.0,red,gray,james motor company,8775.0,9300.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2001,Dodge,Dakota,Base,Club Cab,automatic,1b7gg22n41s214526,wa,22.0,140836.0,black,gray,remarketing by ge/archibalds inc,1600.0,700.0,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
2005,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38885b022413,fl,19.0,152521.0,silver,black,courtesy toyota of brandon,5150.0,4100.0,Thu Mar 05 2015 08:20:00 GMT-0800 (PST)
1995,Chevrolet,S-10,Base,Regular Cab,manual,1gccs1444sk194467,pa,2.0,131265.0,blue,blue,purple heart,675.0,500.0,Tue Dec 30 2014 13:01:00 GMT-0800 (PST)
2005,Cadillac,CTS,Base,Sedan,automatic,1g6dp567050184669,fl,36.0,116712.0,blue,beige,coggin chevrolet at the avenues,4250.0,4700.0,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm304621,fl,39.0,48475.0,blue,beige,nissan infiniti lt,18750.0,18400.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
2013,BMW,7 Series,750Li xDrive,Sedan,automatic,wbayf8c55dds17322,ga,44.0,28011.0,black,black,financial services remarketing (other aucs),70000.0,71400.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,S,Sedan,automatic,3fahp0ga8cr291628,ca,39.0,61643.0,white,gray,lease plan usa,9325.0,9500.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2013,Dodge,Durango,SXT,SUV,automatic,1c4rdjagxdc657924,wi,29.0,56385.0,white,gray,wheels exchange llc,20900.0,20000.0,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1bc167171,ga,24.0,107527.0,blue,beige,santander consumer,7550.0,6100.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
1998,Ford,Mustang,Base,Convertible,,1fafp4443wf276517,fl,19.0,78592.0,red,black,autonation toyota pinellas park,1650.0,1200.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2012,Ford,F-150,SVT Raptor,SuperCrew,automatic,1ftfw1r69cfb62247,ga,5.0,45012.0,white,gray,nissan of albertville,42500.0,44000.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2008,Kia,Rio,Rio5 SX,Wagon,automatic,knade163x86330728,oh,25.0,59647.0,silver,gray,chrysler capital,4375.0,4400.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h94er382314,il,48.0,27337.0,red,gray,avis budget group,16950.0,16300.0,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2013,Ford,Explorer,XLT,SUV,,1fm5k8d88dgc42882,pa,41.0,19517.0,silver,black,ford motor credit company llc,30000.0,29300.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g11x5sl0e9247237,mi,3.0,17571.0,black,gray,gm remarketing,16750.0,15900.0,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2008,Honda,Civic,EX-L,coupe,automatic,2hgfg12998h567114,fl,29.0,69381.0,white,tan,hendrick honda bradenton,7700.0,8900.0,Thu Jun 04 2015 08:30:00 GMT-0700 (PDT)
2010,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5ek7a1138521,tx,2.0,120373.0,beige,tan,gm financial,5325.0,3700.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2011,Nissan,Frontier,SV,Crew Cab,automatic,1n6ad0ev7bc447579,nj,33.0,123908.0,black,gray,millenium trade inc,14800.0,12200.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0du259412,co,36.0,39390.0,gray,gray,avis corporation,13700.0,13800.0,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
2015,Ford,Mustang,V6,coupe,automatic,1fa6p8amxf5319915,ga,5.0,20203.0,gray,black,ars/budget rac of atlanta,22900.0,23000.0,Mon Jun 15 2015 03:00:00 GMT-0700 (PDT)
2012,Honda,Civic,EX,Sedan,automatic,19xfb2f87ce057479,il,36.0,35933.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,11950.0,11500.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k84w293534,nj,33.0,153998.0,silver,black,united autoland inc,2550.0,2700.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2010,Mercury,Mariner,Base,SUV,automatic,4m2cn8b7xakj29788,il,29.0,70992.0,beige,tan,santander consumer,8775.0,8800.0,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2010,Jeep,Patriot,Limited,SUV,automatic,1j4nf4gb7ad645980,pa,41.0,28273.0,black,black,los angeles japanese auto corp,14300.0,14900.0,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2000,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdblk65g6yt031827,tx,27.0,92023.0,red,gray,san antonio dodge chrysler jeep,3800.0,3500.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2014,Kia,Forte,LX,Sedan,automatic,knafk4a65e5193493,fl,43.0,27209.0,charcoal,gray,santander consumer,11800.0,11200.0,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu3cf386730,tx,34.0,61219.0,silver,gray,the hertz corporation,9700.0,10300.0,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2003,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e93a177357,nc,31.0,138063.0,beige,tan,flow gm auto center,2500.0,3300.0,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2015,Subaru,Forester,2.5i Premium PZEV,SUV,automatic,jf2sjadc5fh411437,ca,5.0,8723.0,gray,black,subaru of america,24000.0,23800.0,Thu Jan 22 2015 05:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d45n446655,nc,27.0,199591.0,gray,gray,fleet lease remarketing,1950.0,2600.0,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,2LT,sedan,,1g1pe5sb7d7175525,pa,19.0,60552.0,silver,black,the hertz corporation,9250.0,9300.0,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2005,Toyota,Camry,LE V6,Sedan,,4t1bf30kx5u611403,pa,44.0,78279.0,silver,gray,whitfields auto yard llc,7500.0,6000.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx1dub71319,ga,43.0,34300.0,—,gray,lease plan usa,17650.0,17200.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2004,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcec19v241339502,nc,36.0,117633.0,beige,beige,boykin motors of johnston co inc,4825.0,7900.0,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
2014,Nissan,Versa Note,1.6 SV,Hatchback,manual,3n1ce2cp5el412902,tn,21.0,2813.0,gray,black,nissan north america inc.,11500.0,8700.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2014,Nissan,NV Cargo,3500 S,van,automatic,1n6af0ly5en101630,nj,19.0,20549.0,white,gray,manheim new jersey,22100.0,19200.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
