PD_30d,PD_90d,PD_180d,PD_365d,PD_30d_refit,PD_90d_refit,PD_180d_refit,PD_365d_refit,EAD
0.0,0.0,1.9372069886891552e-05,0.0006265150529449759,0.0,0.0,1.3378852135592645e-05,0.00043971462256164884,300000000.0
0.0,0.0,2.0242087128363728e-05,0.0006546434853744731,0.0,0.0,1.3833734155088706e-05,0.00045466165834473493,1925339.0
0.0,0.0,1.9025895482194244e-05,0.0006153227126902694,0.0,0.0,1.2881751472071379e-05,0.0004233800702700963,40000000.0
0.0,0.0,1.6082519932902883e-05,0.0005201540375563418,0.0,0.0,1.0141506897154429e-05,0.000333331955247429,102500000.0
0.0,0.0,3.476000346158692e-05,0.0011239074478884836,0.0,0.0,2.773172599390694e-05,0.0009112333894715219,150000000.0
0.0,0.0,2.641242969880775e-05,0.000854114142053608,0.0,0.0,1.9569708162969768e-05,0.0006431222846829954,9996229.0
0.0,0.0,3.8375833999904074e-05,0.0012407490557777567,0.0,0.0,3.295207701758951e-05,0.0010826782000248336,964800.0
0.0,0.0,1.9523411869282192e-05,0.0006314081291739493,0.0,0.0,1.3373869648281023e-05,0.00043955090107183903,14638.0
0.0,0.0,3.139595110046578e-05,0.0010151898814563243,0.0,0.0,2.3870925911162466e-05,0.0007844200890518849,80000000.0
0.0,0.0,1.9524248459856786e-05,0.000631435177133155,0.0,0.0,1.3468166988217511e-05,0.00044264944965932695,1.0
0.0,0.0,1.5119921056960806e-05,0.0004890282544325331,0.0,0.0,9.28881175199514e-06,0.0003053096436759217,421000000.0
0.0,0.0,1.8949280172320115e-05,0.0006128456078281497,0.0,0.0,1.2825596607868306e-05,0.00042153482498907824,510000000.0
0.0,0.0,3.101330679833314e-05,0.0010028230701727425,0.0,0.0,2.4298416514412224e-05,0.0007984623754897502,250000000.0
0.0,0.0,1.9715554877453023e-05,0.0006376203203254383,0.0,0.0,1.3467590352145287e-05,0.0004426305018042642,300000.0
0.0,0.0,1.9100721117215613e-05,0.0006177419485348112,0.0,0.0,1.2901719181113158e-05,0.0004240362071281645,100000000.0
0.0,0.0,1.6916746273354377e-05,0.0005471281151696594,0.0,0.0,1.0933971935966902e-05,0.00035937422853704604,200000000.0
0.0,0.0,1.870174353368892e-05,0.0006048422815073673,0.0,0.0,1.253084181451758e-05,0.00041184914698022546,36000000.0
0.0,0.0,1.943409857874112e-05,0.0006285205212075429,0.0,0.0,1.3264770884702237e-05,0.0004359659758175205,1491585.0
0.0,0.0,1.9525716934309933e-05,0.0006314826546383046,0.0,0.0,1.328082568619049e-05,0.00043649352853125656,12987118.0
0.0,0.0,1.9020923249790656e-05,0.0006151619520371465,0.0,0.0,1.2875858338201596e-05,0.00042318642241734317,200000000.0
0.0,0.0,1.8062382211581074e-05,0.0005841702368849511,0.0,0.0,1.1940077615291145e-05,0.0003924362902896217,439103960.0
0.0,0.0,3.751198306412018e-05,0.0012128358621181778,0.0,0.0,3.103454285369178e-05,0.0010197065769659286,21660000.0
0.0,0.0,1.9194569424341168e-05,0.0006207762106370529,0.0,0.0,1.2980243809912473e-05,0.0004266165142747802,75000000.0
0.0,0.0,1.5898016699877893e-05,0.000514188169827956,0.0,0.0,1.0027863122319403e-05,0.0003295972984025397,150050000.0
0.0,0.0,1.9016784575276446e-05,0.0006150281416970049,0.0,0.0,1.2878790828896314e-05,0.0004232827838056563,550000000.0
0.0,0.0,1.6132092315657154e-05,0.0005217569427660163,0.0,0.0,1.0219510718112446e-05,0.0003358953742677029,19300000.0
0.0,0.0,1.9024671269463056e-05,0.0006152831318317897,0.0,0.0,1.288464067628059e-05,0.0004234750092478867,55000000.0
0.0,0.0,1.9856793072481338e-05,0.0006421866799792841,0.0,0.0,1.3743265789178949e-05,0.00045168896214997645,40000000.0
0.0,0.0,1.8758283884423577e-05,0.0006066703431431009,0.0,0.0,1.274561822517395e-05,0.0004189067346954678,21440097.0
0.0,0.0,1.9591070267721555e-05,0.0006335956026003453,0.0,0.0,1.3448434957985533e-05,0.00044200106889125124,150000000.0
0.0,0.0,1.9752317172105904e-05,0.0006388088807871561,0.0,0.0,1.363003240462124e-05,0.00044796821909220963,120000000.0
0.0,0.0,1.9253062687907274e-05,0.0006226673845354247,0.0,0.0,1.3045129242494902e-05,0.0004287486346742364,230000000.0
0.0,0.0,1.8609825101933986e-05,0.0006018703694583571,0.0,0.0,1.2317888699042712e-05,0.00040485142534119056,133457280.0
0.0,0.0,1.9678360629993286e-05,0.0006364177930217041,0.0,0.0,1.3476264243306169e-05,0.00044291551970310206,137197.0
0.0,0.0,1.6049118283345543e-05,0.0005190740057992027,0.0,0.0,1.014442078517419e-05,0.00033342771369548885,225000000.0
0.0,0.0,1.9300159984858567e-05,0.000624190107423539,0.0,0.0,1.3108656801374963e-05,0.0004308361313821729,4894246.0
0.0,0.0,1.6283285832807692e-05,0.0005266457155101989,0.0,0.0,1.0335351011359073e-05,0.0003397021915477749,275000000.0
0.0,0.0,1.9243177140193524e-05,0.0006223477703710678,0.0,0.0,1.3175306082136018e-05,0.000433026202404041,500000.0
0.0,0.0,1.6618028700787768e-05,0.0005374693895242588,0.0,0.0,1.2145367867533174e-05,0.0003991822893428809,207781250.0
0.0,0.0,1.8728566171910543e-05,0.0006057095109824884,0.0,0.0,1.2628432365047182e-05,0.000415055994301472,9800414.0
0.0,0.0,1.8975046484293046e-05,0.000613678677716889,0.0,0.0,1.284427242709274e-05,0.00042214851159194655,18509935.0
0.0,0.0,1.5896459899411575e-05,0.0005141378309111433,0.0,0.0,1.0031871119697833e-05,0.0003297290127983743,250000000.0
0.0,0.0,1.9152534012523148e-05,0.0006194171413345106,0.0,0.0,1.3023057448213748e-05,0.0004280233610823858,70000000.0
0.0,0.0,1.8901200164678222e-05,0.0006112910953771644,0.0,0.0,1.2828494258876333e-05,0.0004216300416972629,100000000.0
0.0,0.0,2.1112007513868214e-05,0.0006827680192604824,0.0,0.0,1.3932115073611584e-05,0.0004578943430437743,12120276.0
0.0,0.0,1.4962194870404844e-05,0.00048392806429620183,0.0,0.0,9.208954512507361e-06,0.0003026852383208878,192500000.0
0.0,0.0,1.9043012631225764e-05,0.0006158761387701217,0.0,0.0,1.2939757312535605e-05,0.00042528613504366763,500000000.0
0.0,0.0,1.9309138716505636e-05,0.0006244804023908257,0.0,0.0,1.3149581317373205e-05,0.00043218089658247916,60000000.0
0.0,0.0,1.9308930049422024e-05,0.0006244736558901343,0.0,0.0,1.314622682335731e-05,0.0004320706691539611,80000000.0
0.0,0.0,1.9285998196783005e-05,0.0006237322368208842,0.0,0.0,1.3267466956290441e-05,0.0004360545673950389,3229977.0
0.0,0.0,1.7236506242412908e-05,0.0005574671248315122,0.0,0.0,1.0475945632970607e-05,0.0003443224824067892,50200000.0
0.0,0.0,1.9210120962620536e-05,0.0006212790152563263,0.0,0.0,1.3223550356822322e-05,0.00043461148874324174,8193455.0
0.0,0.0,2.1110091333875758e-05,0.0006827060699896581,0.0,0.0,1.390701975212405e-05,0.0004570697403859514,94941770.0
0.0,0.0,1.9444417868608177e-05,0.000628854156887404,0.0,0.0,1.342113213631535e-05,0.00044110391651597247,70000000.0
0.0,0.0,1.612584656862648e-05,0.0005215549889142634,0.0,0.0,1.0223760805061488e-05,0.0003360350435718251,285870000.0
0.0,0.0,1.9682269631893234e-05,0.0006365441750375567,0.0,0.0,1.3420525895813107e-05,0.000441083995850966,14739100.0
0.0,0.0,2.1110197446327916e-05,0.0006827095005598194,0.0,0.0,1.3954299859730845e-05,0.0004586233083961888,1450196.0
0.0,0.0,1.5735408082862e-05,0.0005089302306405807,0.0,0.0,9.903190259952233e-06,0.0003255001788941003,200200000.0
0.0,0.0,1.9373231554209447e-05,0.0006265526111938202,0.0,0.0,1.319477572869765e-05,0.0004336659669966769,120000000.0
0.0,0.0,1.934312109919123e-05,0.0006255790996597677,0.0,0.0,1.3103653618729005e-05,0.0004306717284425776,27080001.0
0.0,0.0,1.8644106559051465e-05,0.0006029787605152936,0.0,0.0,1.2609868154322967e-05,0.00041444597095219304,5352861.0
0.0,0.0,2.5326778918088877e-05,0.0008190207560578866,0.0,0.0,1.8513525265051456e-05,0.0006084230260967605,100000000.0
0.0,0.0,2.0440883169214885e-05,0.0006610706307802472,0.0,0.0,1.3960435738646915e-05,0.00045882492589621737,145000000.0
0.0,0.0,1.984365473695071e-05,0.0006417619064615909,0.0,0.0,1.3593469729511476e-05,0.00044676680093402865,68332037.0
